rank,radius_90_global_rank,radius_95_global_rank,radius_99_global_rank,median_observed_persistence,max_observed_persistence,median_fitted_persistence,max_fitted_persistence
1,0.0002986254759477,0.0003425154822237,0.0004030235161609,0.0001070778455937,0.0004770613023773,5.765328535623824e-05,0.0003838095136464
2,0.0001738248214715,0.0001910630260504,0.0002181456823173,6.739236621283255e-05,0.0001650590002773,2.6764189819796434e-05,7.611643743178243e-05
3,0.0001408471765555,0.0001525260761795,0.0001715840985652,5.211426891450059e-05,0.0001156998638511,2.057973524258724e-05,6.877652754766028e-05
4,0.0001266448041674,0.0001386592100403,0.0001637201756029,4.2959632265547806e-05,0.0001097014542749,1.7863344157904308e-05,4.531868202176254e-05
5,0.0001141751764461,0.0001260125099611,0.0001497791371006,3.47668880158537e-05,9.243896877178172e-05,1.458371545072238e-05,3.874796633030729e-05
6,0.0001093358523906,0.0001215453194055,0.0001504977510844,2.8938081932170222e-05,6.171781814134184e-05,1.1761722429925951e-05,3.476982133163876e-05
7,0.0001126381762436,0.0001281236930729,0.0001529287372662,2.5477707006369428e-05,5.893064452445917e-05,1.0053894108399623e-05,3.314867177279853e-05
8,0.0001054751579674,0.0001198893020488,0.0001447491220879,2.1666594444685183e-05,5.219887772412893e-05,7.922562844349161e-06,2.360832115847727e-05
9,0.000106893731776,0.0001193856255756,0.0001437903935217,1.7306267696034868e-05,5.196274294162749e-05,6.177805627116107e-06,2.178594466437923e-05
10,0.0001047301220444,0.0001177216648428,0.0001430269270917,1.358800644460402e-05,4.886771584818935e-05,5.053034758657257e-06,1.9195616231974484e-05
