rank,median_radius_95_monthwise,max_radius_95_monthwise,median_observed_persistence,max_observed_persistence,median_observed_persistence_over_2radius95,months_observed_persistence_larger_than_2radius95
1,0.0001056843286702,0.0002225299366109,0.0001070778455937,0.0004770613023773,0.4868995482888286,4
2,7.063058251200126e-05,0.0001545931542647,6.739236621283255e-05,0.0001650590002773,0.4626148392151641,0
3,5.388401568836268e-05,0.0001178246559181,5.211426891450059e-05,0.0001156998638511,0.4680207401890408,1
4,4.692266795158514e-05,0.0001172446902866,4.2959632265547806e-05,0.0001097014542749,0.4226226336522046,3
5,4.235415886831844e-05,9.517407728819336e-05,3.47668880158537e-05,9.243896877178172e-05,0.3910225323960021,3
6,3.896129989095828e-05,9.408373376004304e-05,2.8938081932170222e-05,6.171781814134184e-05,0.3829398266257415,0
7,3.6805210842345635e-05,9.74113822856613e-05,2.5477707006369428e-05,5.893064452445917e-05,0.3524875231019369,0
8,3.4661152186731965e-05,8.017361595634933e-05,2.1666594444685183e-05,5.219887772412893e-05,0.297089509025703,0
9,3.466232713980686e-05,7.865417683103396e-05,1.7306267696034868e-05,5.196274294162749e-05,0.2396238290448768,0
10,3.390413822692106e-05,7.936166559742997e-05,1.358800644460402e-05,4.886771584818935e-05,0.2022883375472435,0
