experiment,train_end,holdout_year,model,mae_statewide_rate,rmse_statewide_rate,observed_sd_statewide_rate,predicted_sd_statewide_rate,correlation_squared_defined,correlation_squared_statewide_rate
C,2020-12-01,2021,county_negative_binomial_induced_statewide,2.9269988208094544e-06,3.530643112544161e-06,2.7538284645385153e-06,7.332668711646226e-07,True,0.2474560173267713
C,2020-12-01,2021,last_observation,2.4272035807192048e-06,2.7631841111196804e-06,2.7538284645385153e-06,6.776263578034403e-21,False,
C,2020-12-01,2021,recent_12_month_average,2.6716064066771504e-06,3.155640217317052e-06,2.7538284645385153e-06,6.776263578034403e-21,False,
C,2020-12-01,2021,same_month_training_mean,1.7021873856491754e-05,1.721026160368369e-05,2.7538284645385153e-06,5.500885094349726e-07,True,0.225044271897693
C,2020-12-01,2021,sarimax_statewide_rate,1.1798388157832168e-05,1.2628231281004914e-05,2.7538284645385153e-06,4.771852507226912e-06,True,0.1472136290515278
C,2020-12-01,2021,seasonal_naive,5.561828606164398e-06,6.812183576860228e-06,2.7538284645385153e-06,6.3604770576234785e-06,True,0.0130893511759009
A,2021-12-01,2022,county_negative_binomial_induced_statewide,7.97663220215434e-06,8.292948481029688e-06,2.4535867815917375e-06,1.084706973791833e-06,True,0.148376731592724
A,2021-12-01,2022,last_observation,2.14419309989725e-06,2.466460801005256e-06,2.4535867815917375e-06,6.776263578034403e-21,False,
A,2021-12-01,2022,recent_12_month_average,2.93125605247422e-06,3.5615158193253547e-06,2.4535867815917375e-06,1.3552527156068804e-20,False,
A,2021-12-01,2022,same_month_training_mean,1.3305550388180444e-05,1.3510153507525169e-05,2.4535867815917375e-06,6.218760404288484e-07,True,0.0909353822483564
A,2021-12-01,2022,sarimax_statewide_rate,3.4304045577863017e-06,4.014273647350413e-06,2.4535867815917375e-06,1.302108775453996e-06,True,0.2198354128895216
A,2021-12-01,2022,seasonal_naive,3.5968000922925206e-06,4.353586906512305e-06,2.4535867815917375e-06,2.7538284645385153e-06,True,0.009458396321171
B,2022-12-01,2023,county_negative_binomial_induced_statewide,1.6307160941315974e-05,1.667932399086619e-05,3.4952604703662644e-06,1.2774772857125543e-06,True,0.0310044796758269
B,2022-12-01,2023,last_observation,9.870230159001436e-06,1.047083039435586e-05,3.4952604703662644e-06,0.0,False,
B,2022-12-01,2023,recent_12_month_average,6.872703947229149e-06,7.710441316939267e-06,3.4952604703662644e-06,6.776263578034403e-21,False,
B,2022-12-01,2023,same_month_training_mean,5.708761685244739e-06,6.607955397723761e-06,3.4952604703662644e-06,6.460151709102011e-07,True,0.0057722500928457
B,2022-12-01,2023,sarimax_statewide_rate,1.1603054303515234e-05,1.2469519046174978e-05,3.4952604703662644e-06,1.2537429523957653e-06,True,0.6506074893791557
B,2022-12-01,2023,seasonal_naive,7.0575546350280375e-06,8.522631363708555e-06,3.4952604703662644e-06,2.4535867815917375e-06,True,0.174469603609741
